,ticker
A_segment_47,A
A_segment_48,A
A_segment_49,A
A_segment_50,A
A_segment_51,A
A_segment_52,A
A_segment_53,A
A_segment_54,A
A_segment_55,A
A_segment_56,A
A_segment_57,A
A_segment_58,A
A_segment_59,A
A_segment_60,A
A_segment_61,A
A_segment_62,A
A_segment_63,A
APD_segment_1,APD
APD_segment_2,APD
APD_segment_3,APD
APD_segment_4,APD
APD_segment_5,APD
APD_segment_6,APD
APD_segment_7,APD
APD_segment_8,APD
APD_segment_9,APD
APD_segment_10,APD
APD_segment_11,APD
APD_segment_12,APD
APD_segment_13,APD
APD_segment_14,APD
APD_segment_15,APD
APD_segment_16,APD
APD_segment_17,APD
APD_segment_18,APD
APD_segment_19,APD
APD_segment_20,APD
APD_segment_21,APD
APD_segment_22,APD
APD_segment_23,APD
APD_segment_24,APD
APD_segment_25,APD
APD_segment_26,APD
APD_segment_27,APD
APD_segment_28,APD
APD_segment_29,APD
APD_segment_30,APD
APD_segment_31,APD
APD_segment_32,APD
APD_segment_33,APD
APD_segment_34,APD
APD_segment_35,APD
APD_segment_36,APD
APD_segment_37,APD
APD_segment_38,APD
APD_segment_39,APD
APD_segment_40,APD
APD_segment_41,APD
APD_segment_42,APD
APD_segment_43,APD
APD_segment_44,APD
APD_segment_45,APD
APD_segment_46,APD
APD_segment_47,APD
APD_segment_48,APD
APD_segment_49,APD
APD_segment_50,APD
APD_segment_51,APD
APD_segment_52,APD
APD_segment_53,APD
APD_segment_54,APD
APD_segment_55,APD
APD_segment_56,APD
APD_segment_57,APD
APD_segment_58,APD
APD_segment_59,APD
APD_segment_60,APD
APD_segment_61,APD
APD_segment_62,APD
APD_segment_63,APD
AKAM_segment_1,AKAM
AKAM_segment_2,AKAM
AKAM_segment_3,AKAM
AKAM_segment_4,AKAM
AKAM_segment_5,AKAM
AKAM_segment_6,AKAM
AKAM_segment_7,AKAM
AKAM_segment_8,AKAM
AKAM_segment_9,AKAM
AKAM_segment_10,AKAM
AKAM_segment_11,AKAM
AKAM_segment_12,AKAM
AKAM_segment_13,AKAM
AKAM_segment_14,AKAM
AKAM_segment_15,AKAM
AKAM_segment_16,AKAM
AKAM_segment_17,AKAM
AKAM_segment_18,AKAM
AKAM_segment_19,AKAM
AKAM_segment_20,AKAM
AKAM_segment_21,AKAM
AKAM_segment_22,AKAM
AKAM_segment_23,AKAM
AKAM_segment_24,AKAM
AKAM_segment_25,AKAM
AKAM_segment_26,AKAM
AKAM_segment_27,AKAM
AKAM_segment_28,AKAM
AKAM_segment_29,AKAM
AKAM_segment_30,AKAM
AKAM_segment_31,AKAM
AKAM_segment_32,AKAM
AKAM_segment_33,AKAM
AKAM_segment_34,AKAM
AKAM_segment_35,AKAM
AKAM_segment_36,AKAM
AKAM_segment_37,AKAM
AKAM_segment_38,AKAM
AKAM_segment_39,AKAM
AKAM_segment_40,AKAM
AKAM_segment_41,AKAM
AKAM_segment_42,AKAM
AKAM_segment_43,AKAM
AKAM_segment_44,AKAM
AKAM_segment_45,AKAM
AKAM_segment_46,AKAM
AKAM_segment_47,AKAM
AKAM_segment_48,AKAM
AKAM_segment_49,AKAM
AKAM_segment_50,AKAM
AKAM_segment_51,AKAM
AKAM_segment_52,AKAM
AKAM_segment_53,AKAM
AKAM_segment_54,AKAM
AKAM_segment_55,AKAM
AKAM_segment_56,AKAM
AKAM_segment_57,AKAM
AKAM_segment_58,AKAM
AKAM_segment_59,AKAM
AKAM_segment_60,AKAM
AKAM_segment_61,AKAM
AKAM_segment_62,AKAM
AKAM_segment_63,AKAM
ALB_segment_1,ALB
ALB_segment_2,ALB
ALB_segment_3,ALB
ALB_segment_4,ALB
ALB_segment_5,ALB
ALB_segment_6,ALB
ALB_segment_7,ALB
ALB_segment_8,ALB
ALB_segment_9,ALB
ALB_segment_10,ALB
ALB_segment_11,ALB
ALB_segment_12,ALB
ALB_segment_13,ALB
ALB_segment_14,ALB
ALB_segment_15,ALB
ALB_segment_16,ALB
ALB_segment_17,ALB
ALB_segment_18,ALB
ALB_segment_19,ALB
ALB_segment_20,ALB
ALB_segment_21,ALB
ALB_segment_22,ALB
ALB_segment_23,ALB
ALB_segment_24,ALB
ALB_segment_25,ALB
ALB_segment_26,ALB
ALB_segment_27,ALB
ALB_segment_28,ALB
ALB_segment_29,ALB
ALB_segment_30,ALB
ALB_segment_31,ALB
ALB_segment_32,ALB
ALB_segment_33,ALB
ALB_segment_34,ALB
ALB_segment_35,ALB
ALB_segment_36,ALB
ALB_segment_37,ALB
ALB_segment_38,ALB
ALB_segment_39,ALB
ALB_segment_40,ALB
ALB_segment_41,ALB
ALB_segment_42,ALB
ALB_segment_43,ALB
ALB_segment_44,ALB
ALB_segment_45,ALB
ALB_segment_46,ALB
ALB_segment_47,ALB
ALB_segment_48,ALB
ALB_segment_49,ALB
ALB_segment_50,ALB
ALB_segment_51,ALB
ALB_segment_52,ALB
ALB_segment_53,ALB
ALB_segment_54,ALB
ALB_segment_55,ALB
ALB_segment_56,ALB
ALB_segment_57,ALB
ALB_segment_58,ALB
ALB_segment_59,ALB
ALB_segment_60,ALB
ALB_segment_61,ALB
ALB_segment_62,ALB
ALB_segment_63,ALB
ARE_segment_1,ARE
ARE_segment_2,ARE
ARE_segment_3,ARE
ARE_segment_4,ARE
ARE_segment_5,ARE
ARE_segment_6,ARE
ARE_segment_7,ARE
ARE_segment_8,ARE
ARE_segment_9,ARE
ARE_segment_10,ARE
ARE_segment_11,ARE
ARE_segment_12,ARE
ARE_segment_13,ARE
ARE_segment_14,ARE
ARE_segment_15,ARE
ARE_segment_16,ARE
ARE_segment_17,ARE
ARE_segment_18,ARE
ARE_segment_19,ARE
ARE_segment_20,ARE
ARE_segment_21,ARE
ARE_segment_22,ARE
ARE_segment_23,ARE
ARE_segment_24,ARE
ARE_segment_25,ARE
ARE_segment_26,ARE
ARE_segment_27,ARE
ARE_segment_28,ARE
ARE_segment_29,ARE
ARE_segment_30,ARE
ARE_segment_31,ARE
ARE_segment_32,ARE
ARE_segment_33,ARE
ARE_segment_34,ARE
ARE_segment_35,ARE
ARE_segment_36,ARE
ARE_segment_37,ARE
ARE_segment_38,ARE
ARE_segment_39,ARE
ARE_segment_40,ARE
ARE_segment_41,ARE
ARE_segment_42,ARE
ARE_segment_43,ARE
ARE_segment_44,ARE
ARE_segment_45,ARE
ARE_segment_46,ARE
ARE_segment_47,ARE
ARE_segment_48,ARE
ARE_segment_49,ARE
ARE_segment_50,ARE
ARE_segment_51,ARE
ARE_segment_52,ARE
ARE_segment_53,ARE
ARE_segment_54,ARE
ARE_segment_55,ARE
ARE_segment_56,ARE
ARE_segment_57,ARE
ARE_segment_58,ARE
ARE_segment_59,ARE
ARE_segment_60,ARE
ARE_segment_61,ARE
ARE_segment_62,ARE
ARE_segment_63,ARE
ALGN_segment_1,ALGN
ALGN_segment_2,ALGN
ALGN_segment_3,ALGN
ALGN_segment_4,ALGN
ALGN_segment_5,ALGN
ALGN_segment_6,ALGN
ALGN_segment_7,ALGN
ALGN_segment_8,ALGN
ALGN_segment_9,ALGN
